Wavelength,Flux,BestFit,SkyFlux
6900.0,147.90,147.90,147.90
6910.0,146.80,146.80,146.80
6920.0,145.40,145.40,145.40
6930.0,145.80,145.80,145.80
6940.0,145.70,145.70,145.70
6950.0,143.50,143.50,143.50
6960.0,144.20,144.20,144.20
6970.0,143.80,143.80,143.80
6980.0,141.70,141.70,141.70
6990.0,143.40,143.40,143.40
7000.0,142.20,142.20,142.20
7010.0,141.31,141.31,141.31
7020.0,139.87,139.87,139.87
7030.0,140.95,140.95,140.95
7040.0,141.87,141.87,141.87
7050.0,143.30,143.30,143.30
7060.0,141.38,141.38,141.38
7070.0,140.40,140.40,140.40
7080.0,139.90,139.90,139.90
7090.0,139.00,139.00,139.00
7100.0,140.40,140.40,140.40
7110.0,139.70,139.70,139.70
7120.0,138.18,138.18,138.18
7130.0,137.02,137.02,137.02
7140.0,138.19,138.19,138.19
7150.0,135.02,135.02,135.02
7160.0,136.94,136.94,136.94
7170.0,136.50,136.50,136.50
7180.0,135.70,135.70,135.70
7190.0,130.10,130.10,130.10
7200.0,134.87,134.87,134.87
7210.0,134.80,134.80,134.80
7220.0,136.00,136.00,136.00
7230.0,135.10,135.10,135.10
7240.0,136.07,136.07,136.07
7250.0,134.65,134.65,134.65
7260.0,134.29,134.29,134.29
7270.0,134.44,134.44,134.44
7280.0,133.70,133.70,133.70
7290.0,127.96,127.96,127.96
7300.0,133.57,133.57,133.57
7310.0,131.04,131.04,131.04
7320.0,133.33,133.33,133.33
7330.0,131.08,131.08,131.08
7340.0,133.90,133.90,133.90
7350.0,132.71,132.71,132.71
7360.0,131.00,131.00,131.00
7370.0,131.20,131.20,131.20
7380.0,130.00,130.00,130.00
7390.0,126.46,126.46,126.46
7400.0,128.30,128.30,128.30
7410.0,127.07,127.07,127.07
7420.0,126.49,126.49,126.49
7430.0,128.92,128.92,128.92
7440.0,129.55,129.55,129.55
7450.0,129.20,129.20,129.20
7460.0,128.92,128.92,128.92
7470.0,128.90,128.90,128.90
7480.0,128.08,128.08,128.08
7490.0,127.60,127.60,127.60
7500.0,127.40,127.40,127.40
7510.0,126.80,126.80,126.80
7520.0,127.20,127.20,127.20
7530.0,126.50,126.50,126.50
7540.0,128.09,128.09,128.09
7550.0,127.71,127.71,127.71
7560.0,126.10,126.10,126.10
7570.0,125.98,125.98,125.98
7580.0,126.80,126.80,126.80
7590.0,125.00,125.00,125.00
7600.0,125.90,125.90,125.90
7610.0,124.87,124.87,124.87
7620.0,124.60,124.60,124.60
7630.0,125.43,125.43,125.43
7640.0,125.66,125.66,125.66
