Wavelength,Flux,BestFit,SkyFlux
4028.098,108.954,107.715,16.950
4029.025,112.126,109.543,16.676
4029.953,112.555,109.034,15.855
4030.881,111.327,110.215,14.910
4031.809,109.219,111.223,14.448
4032.738,113.120,111.128,14.110
4033.667,115.733,110.921,13.331
4034.596,115.671,111.524,13.264
4035.525,111.840,111.630,14.070
4036.454,108.789,114.453,14.781
4037.383,112.871,115.041,15.294
4038.313,110.555,114.035,16.097
4039.243,108.980,112.986,16.609
4040.173,115.785,111.377,16.101
4041.104,114.343,112.402,15.358
4042.034,110.081,112.815,16.434
4042.965,108.441,112.731,17.201
4043.896,109.594,112.513,16.877
4044.827,111.210,111.638,15.807
4045.759,111.276,109.954,16.683
4046.691,109.835,110.192,21.729
4047.622,107.836,112.724,27.643
4048.555,107.835,113.596,28.478
4049.487,113.531,113.098,23.955
4050.419,109.198,112.746,18.953
4051.352,111.984,112.386,16.628
4052.285,109.597,111.960,16.523
4053.218,105.125,109.993,16.204
4054.152,110.460,110.247,15.332
4055.085,113.419,110.725,15.297
4056.019,110.379,110.199,15.444
4056.953,107.818,111.001,14.551
4057.887,106.256,110.093,13.405
4058.822,110.674,109.455,12.887
4059.757,107.872,107.721,13.310
4060.692,106.868,109.236,15.417
4061.627,108.081,111.589,16.144
4062.562,108.890,106.814,15.065
4063.498,105.054,107.675,14.634
4064.433,104.242,108.642,14.171
4065.369,104.970,107.753,13.913
4066.305,104.944,108.032,14.482
4067.242,108.383,109.218,14.948
4068.178,110.839,107.705,15.146
4069.115,104.193,108.738,15.650
4070.052,103.164,106.775,16.573
4070.990,105.572,104.747,16.492
4071.927,100.196,104.860,15.287
4072.865,99.879,105.929,14.389
4073.803,105.068,105.518,14.887
4074.741,103.092,104.956,15.705
4075.679,97.671,106.012,15.955
4076.618,98.086,105.240,15.820
4077.557,100.071,103.098,16.011
4078.496,97.318,102.087,15.904
4079.435,97.243,102.713,15.522
4080.374,97.491,102.313,15.649
4081.314,91.784,101.888,16.850
4082.254,93.763,102.847,17.329
4083.194,94.434,102.543,17.173
4084.134,90.661,99.888,16.248
4085.075,92.362,98.034,15.811
4086.015,90.566,97.763,15.618
4086.956,85.621,97.722,16.538
4087.898,87.575,97.203,17.031
4088.839,91.742,94.973,16.562
4089.781,88.065,91.843,16.428
4090.722,80.912,89.872,16.161
4091.664,75.941,85.760,15.475
4092.607,74.161,82.780,14.826
4093.549,72.038,78.464,15.040
4094.492,69.637,73.807,14.984
4095.435,61.681,69.510,15.065
4096.378,58.635,63.336,14.813
4097.321,54.484,56.318,13.852
4098.265,47.199,49.788,12.604
4099.208,44.266,41.622,13.091
4100.152,34.124,32.753,14.508
4101.097,26.982,25.097,13.959
4102.041,24.604,20.645,12.024
4102.986,28.168,24.714,11.069
4103.931,36.408,33.135,11.237
4104.876,41.972,41.162,11.867
4105.821,47.098,49.179,13.020
4106.766,52.304,57.318,13.782
4107.712,58.500,63.126,13.709
4108.658,64.496,68.239,13.899
4109.604,67.592,70.853,14.728
4110.551,69.837,76.053,14.821
4111.497,73.921,81.450,14.184
4112.444,78.449,84.089,13.679
4113.391,76.942,86.453,14.689
4114.338,80.006,89.140,15.599
4115.286,80.794,91.411,15.465
4116.233,85.931,92.761,15.583
4117.181,85.375,93.899,15.784
4118.130,89.999,95.260,15.032
4119.078,93.608,96.292,14.019
4120.026,90.708,97.015,13.943
4120.975,94.733,96.967,14.570
4121.924,93.661,96.669,15.063
4122.873,94.094,97.920,16.012
4123.823,97.049,99.682,16.675
4124.772,92.688,99.013,16.259
4125.722,99.676,100.685,15.760
4126.672,98.188,100.155,15.186
4127.623,97.910,99.660,15.398
4128.573,100.366,100.835,15.518
4129.524,99.864,101.766,15.459
4130.475,96.667,100.215,15.515
4131.426,96.410,101.370,15.221
4132.378,100.528,100.766,14.864
4133.329,99.602,99.678,15.004
4134.281,102.957,99.902,15.449
4135.233,100.554,101.422,15.109
4136.185,100.066,102.630,15.380
4137.138,98.008,102.446,16.254
