Wavelength,Flux,BestFit,SkyFlux
4119.078,15.548,15.676,5.849
4120.026,15.464,14.859,5.876
4120.975,14.771,14.445,6.116
4121.924,15.320,14.743,6.185
4122.873,17.014,15.336,6.201
4123.823,15.795,15.022,6.786
4124.772,15.092,15.021,7.429
4125.722,15.051,15.625,7.258
4126.672,17.685,16.091,6.785
4127.623,18.449,15.727,6.722
4128.573,15.345,15.160,6.995
4129.524,15.143,14.741,7.055
4130.475,16.836,14.660,6.669
4131.426,14.837,14.541,6.403
4132.378,13.722,13.922,6.576
4133.329,13.758,12.795,6.827
4134.281,11.903,11.957,6.934
4135.233,12.232,12.094,7.047
4136.185,13.749,13.235,6.981
4137.138,15.179,14.635,6.944
4138.091,15.481,15.402,7.131
4139.044,15.557,15.374,7.338
4139.997,16.503,15.712,7.487
4140.950,17.407,15.860,7.518
4141.904,17.546,15.920,7.018
4142.858,15.190,15.050,6.093
4143.812,13.287,13.023,5.544
4144.766,8.999,11.051,5.806
4145.720,10.073,10.742,6.198
4146.675,13.738,12.260,6.131
4147.630,16.203,13.928,6.032
4148.585,15.195,14.790,6.270
4149.540,15.349,14.829,6.377
4150.496,16.316,14.544,6.144
4151.452,14.359,14.415,6.065
4152.408,14.696,14.459,6.236
4153.364,14.386,14.527,6.358
4154.321,16.061,14.294,6.686
4155.277,15.302,13.861,6.797
4156.234,13.339,13.659,7.048
4157.191,13.941,13.597,7.247
4158.149,13.330,13.910,7.036
4159.106,15.110,14.246,6.846
4160.064,15.639,14.806,6.935
4161.022,16.384,15.434,7.113
4161.980,19.017,15.590,7.374
4162.939,17.903,15.735,7.682
4163.897,15.951,16.519,8.175
4164.856,16.643,16.712,8.620
4165.815,16.880,16.202,8.850
4166.775,16.129,15.521,8.708
4167.734,14.586,14.960,8.382
4168.694,14.568,14.347,7.848
4169.654,15.752,14.218,7.836
4170.614,15.016,14.791,8.217
4171.574,15.085,15.328,8.014
4172.535,15.758,14.903,7.754
4173.496,13.039,13.437,7.728
4174.457,10.772,12.479,7.383
4175.418,14.006,12.793,6.870
4176.380,15.202,13.368,7.005
4177.342,16.316,13.640,7.025
4178.304,16.195,13.723,6.928
4179.266,15.729,13.960,7.101
4180.228,15.620,14.371,7.278
4181.191,15.943,15.016,7.063
4182.154,15.902,14.813,6.860
4183.117,15.540,14.120,6.482
4184.080,15.669,13.779,6.101
4185.044,16.686,14.161,6.200
4186.007,17.129,14.984,6.480
4186.971,14.834,15.106,6.296
4187.936,12.991,14.165,5.889
4188.900,11.993,12.841,5.791
4189.865,12.997,12.624,6.245
4190.830,15.650,14.205,6.663
4191.795,14.502,14.978,6.494
4192.760,15.151,14.441,6.347
4193.725,15.854,14.717,6.385
4194.691,17.438,15.676,6.222
4195.657,18.989,15.903,5.723
4196.623,16.747,14.740,5.477
4197.590,14.922,13.673,5.378
4198.556,14.560,13.281,5.253
4199.523,13.983,12.383,5.174
4200.490,10.883,12.007,5.293
4201.458,12.125,12.489,5.685
4202.425,12.512,12.490,5.809
4203.393,13.125,12.172,5.586
4204.361,14.092,12.650,5.579
4205.329,12.937,13.839,5.993
4206.298,14.204,14.983,6.438
4207.266,16.947,15.627,6.679
4208.235,17.227,15.977,6.824
4209.204,17.644,16.428,6.927
4210.174,15.311,16.441,6.642
4211.143,16.761,15.646,6.205
4212.113,15.227,15.225,6.213
4213.083,15.081,15.704,6.243
4214.053,16.822,16.229,6.104
4215.023,16.455,16.353,5.941
4215.994,14.848,14.999,6.252
4216.965,13.823,13.568,6.479
4217.936,13.425,13.434,6.171
4218.907,13.218,14.499,6.025
4219.879,13.952,15.507,5.713
4220.851,15.811,16.036,5.704
4221.823,16.216,16.202,6.015
4222.795,15.857,16.019,6.110
4223.767,14.798,15.217,5.953
4224.740,15.195,13.832,5.717
4225.713,12.466,12.252,5.291
4226.686,9.720,10.449,4.829
4227.659,6.446,8.361,4.587
4228.633,5.567,7.752,4.600
4229.607,7.100,9.153,5.021
4230.581,10.557,11.611,5.656
4231.555,13.869,13.658,6.078
4232.530,14.406,14.911,6.159
4233.504,15.473,15.226,6.021
4234.479,14.406,14.540,5.926
4235.454,16.798,13.912,5.736
4236.430,13.992,13.727,5.660
4237.405,12.752,13.341,5.575
4238.381,11.353,13.226,5.443
4239.357,15.065,13.910,5.489
4240.333,14.717,14.267,5.567
4241.310,14.200,14.536,5.670
4242.287,16.032,15.210,5.827
4243.263,16.655,15.895,5.798
4244.241,16.489,15.889,5.729
4245.218,16.359,16.164,5.926
4246.196,17.336,16.974,6.646
4247.173,15.156,17.138,7.642
4248.152,16.126,16.093,7.848
4249.130,14.285,14.767,7.258
4250.108,14.586,13.918,6.179
4251.087,13.458,12.748,5.737
4252.066,11.423,12.003,6.156
4253.045,13.026,12.518,6.697
4254.025,14.594,13.657,6.939
4255.004,12.596,13.580,6.723
4255.984,11.645,12.191,6.219
4256.964,13.481,12.125,5.976
4257.945,13.719,14.314,6.436
4258.925,17.551,15.924,6.618
4259.906,16.366,15.249,6.115
4260.887,14.487,13.641,5.681
4261.868,11.912,11.937,5.894
4262.849,11.177,11.976,6.207
4263.831,14.118,13.747,6.086
4264.813,14.656,15.903,6.067
4265.795,17.216,17.258,6.134
4266.778,18.290,17.549,6.181
4267.760,15.416,17.167,6.392
4268.743,14.823,16.291,6.572
4269.726,13.897,15.490,6.287
4270.709,14.722,14.746,5.600
4271.693,15.078,13.333,5.224
4272.676,10.718,10.965,5.211
4273.660,10.342,9.849,5.376
4274.644,10.272,10.591,5.511
4275.629,10.744,10.973,5.689
4276.613,11.251,11.179,6.023
4277.598,12.416,12.406,6.184
4278.583,16.197,14.711,6.144
4279.569,17.292,16.437,6.197
4280.554,15.156,16.246,6.070
4281.540,15.679,15.006,5.813
4282.526,15.093,14.177,5.818
4283.512,14.044,14.160,6.187
4284.499,14.036,14.374,6.309
4285.485,15.673,15.089,5.869
4286.472,14.763,14.875,5.601
4287.459,15.355,14.169,5.668
